时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2023年7月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,818,1226.92,25.67,254107.1,B,2,8,2,2023/7/1,2023,7,0.75,20,1.71,Low
2023年1月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,3431,942.15,14.54,454078.84,B,2,8,2,2023/1/1,2023,1,1.24,14.54,2.78,Low
2023年3月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,917,925.54,36.31,300921.3,B,2,8,2,2023/3/1,2023,3,1.08,20,2.78,Low
2024年3月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,3102,1034.69,32.21,1018732.87,B,2,8,2,2024/3/1,2024,3,0.08,20,2.78,Low
2023年12月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,2145,1038.16,16.97,365154.17,B,2,8,2,2023/12/1,2023,12,0.33,16.97,2.78,Low
2023年7月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,2785,836.37,13.36,307807.79,B,2,8,2,2023/7/1,2023,7,0.75,13.36,2.78,Low
2023年10月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,4065,939.34,7.92,300578.43,B,2,8,2,2023/10/1,2023,10,0.5,7.92,2.78,Low
2023年12月,JM16197,小米之家广东深圳龙华区万悦城商业广场专卖店,广东,深圳市,龙华区,专卖店,体验店-B2,营业中,2021/6/26,米家专卖店,104.6,6816,1550.15,11.15,1130262.14,B,2,9,2,2023/12/1,2023,12,0.33,11.15,2.76,Low
2023年3月,JM16197,小米之家广东深圳龙华区万悦城商业广场专卖店,广东,深圳市,龙华区,专卖店,体验店-B2,营业中,2021/6/26,米家专卖店,104.6,4475,1511.12,20.29,1998434.1,B,2,9,2,2023/3/1,2023,3,1.08,20,2.76,Low
2023年2月,JM16197,小米之家广东深圳龙华区万悦城商业广场专卖店,广东,深圳市,龙华区,专卖店,体验店-B2,营业中,2021/6/26,米家专卖店,104.6,5240,1315.73,18.76,2966572.92,B,2,9,2,2023/2/1,2023,2,1.16,18.76,2.76,Low
