时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2023年7月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,15045,1540.33,3.96,900344.96,B,2,8,2,2023/7/1,2023,7,0.75,3.96,2.89,Low
2023年11月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1762,1642.96,9.88,264482.09,B,2,8,2,2023/11/1,2023,11,0.41,9.88,1.71,Low
2024年3月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1043,1366.38,16.2,231067.38,B,2,8,2,2024/3/1,2024,3,0.08,16.2,1.71,Low
2023年10月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1897,1217.17,11.02,247201.78,B,2,8,2,2023/10/1,2023,10,0.5,11.02,1.71,Low
2023年11月,JM16961,小米之家广东汕头龙湖区海纳天地购物中心专卖店,广东,汕头市,龙湖区,专卖店,体验店-B1,营业中,2021/6/18,米家专卖店,132,4455,1110.55,8.89,433209.99,B,2,8,2,2023/11/1,2023,11,0.41,8.89,2.78,Low
2023年1月,JM16197,小米之家广东深圳龙华区万悦城商业广场专卖店,广东,深圳市,龙华区,专卖店,体验店-B2,营业中,2021/6/26,米家专卖店,104.6,5224,1436.32,21.65,2270828.51,B,2,9,2,2023/1/1,2023,1,1.24,20,2.76,Low
2023年11月,JM16197,小米之家广东深圳龙华区万悦城商业广场专卖店,广东,深圳市,龙华区,专卖店,体验店-B2,营业中,2021/6/26,米家专卖店,104.6,7984,1831.4,11.5,1594176.19,B,2,9,2,2023/11/1,2023,11,0.41,11.5,2.76,Low
2024年1月,JM16197,小米之家广东深圳龙华区万悦城商业广场专卖店,广东,深圳市,龙华区,专卖店,体验店-B2,营业中,2021/6/26,米家专卖店,104.6,5166,1745.52,15.7,1344659.28,B,2,9,2,2024/1/1,2024,1,0.24,15.7,2.76,Low
2024年2月,JM20553,小米之家广东珠海香洲区金发购物广场专卖店,广东,珠海市,香洲区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,116,4277,757.27,16.86,539843.6,B,2,8,2,2024/2/1,2024,2,0.16,16.86,0.53,Low
2023年12月,JM12059,小米之家广东中山南朗兴和广场专卖店,广东,中山市,中山市,专卖店,体验店-B1,营业中,2020/11/1,米家专卖店,100,2424,1348.92,10.11,318994.99,B,2,8,2,2023/12/1,2023,12,0.33,10.11,3.41,Low
2024年1月,JM12332,小米之家广东江门江海区广场专卖店,广东,江门市,江海区,专卖店,体验店-B1,营业中,2020/12/28,米家专卖店,140,3091,1016.08,20.22,630677.22,B,2,8,2,2024/1/1,2024,1,0.24,20,3.25,Low
